caseid,weight,sample,int_date,lang,cregion,state,usr,density,form,q1,q2a,q2b,q2c,q2e,q2f,q2gf1,q2hf2,q3,q4,q5a,q5b,q5c,q6,q7,q8,q9f1,q9f1_code1,q9f1_code2,q9f1_code3,q12a,q12b,q13,q16,q17,q18,q20f1,q21af2,q21bf2,q21cf2,q23,q24a,q24b,q24c,q24d,q24e,q24f,q25,q27,q28,q29,q30,q32,q33,q34,q35,q37,q38,q39,q40,q41,knosct14,knosct15,knosct16,knosct17,knosct18,knosct19,knosct_count,sexz,agerec,educ2,scideg,hisp,racecmb,race3m1,race3m2,race3m3,race3m4,racethn,birth_hisp,usborn,marital,parent,citizen,relig,chr,born,attend,income,reg,party,partyln,ideo,hh1,hh3,eminuse,intmob,ql1,ql1a,qc1
102660,2.85714285714286,1,82014,1,4,6,U,5,1,1,3,4,4,4,2,4, ,2,1,2,1,1,2,1,2, , , , ,1,1,1,1,1,1,2, , , ,1,1,2,2,1,2,1,2,1,2,1,2,1,2,2,2,1,2,2,2,3,1,1,1,3,2,1,5,1,59,6,2,2,1,1, , , ,1, ,1,1,2, ,9, , ,6,5,1,2, ,5,2,2,1,1,1, , 
102687,1.57142857142857,1,82114,1,3,45,S,2,2,2,2,1,3,2,1, ,2,2,1,9,1,9,3,2,2, , , , ,9,9,2,1,2,9, ,1,9, ,2,1,9,9,9,1,2,2,2,1,1,1,2,2,2,2,3,2,2,1,3,1,8,8,3,2,8,3,2,99,8,2,2,1,1, , , ,1, ,1,3,2, ,1, ,2,2,10,1,3,1,2,1, ,1,2,1, , 
102693,2.5,1,82414,1,3,12,S,2,1,2,2,1,9,3,4,2, ,2,1,1,1,9,2,2,2, , , , ,2,2,1,1,2,2,3, , , ,2,2,1,1,1,1,2,2,1,2,1,1,2,2,1,2,4,1,2,2,3,3,2,2,3,1,1,3,2,84,3, ,2,1,1, , , ,1, ,1,1,2, ,1, ,1,2,10,1,3,1,2,2,2,1,1,1, , 
102694,3.78571428571429,1,82114,1,3,12,S,2,1,2,1,1,4,4,1,1, ,1,1,1,1,1,2,1,2, , , , ,1,1,2,1,1,1,3, , , ,2,1,1,1,1,1,1,2,1,2,1,1,1,2,1,2,4,1,1,2,3,1,8,1,3,2,1,5,1,64,8,1,2,1,1, , , ,1, ,1,1,2, ,10, , ,4,6,1,1, ,3,2,2,1,2,1, , 
102705,2.14285714285714,1,82114,1,1,34,S,5,2,1,3,4,4,2,2, ,3,3,1,1,1,2,1,1,2, , , , ,1,1,1,2, ,1, ,1,2, ,1,2,2,2,1,2,2,2,1,2,1,1,1,2,2,2,3,1,2,2,3,1,1,1,1,2,1,4,2,18,3, ,1,2,2, , , ,3,1, ,6,2, ,2, ,2,2,10,3,2, ,4,6,6,1,1,2,1, 
102724,14.9285714285714,1,82414,1,2,18,U,5,1,9,2,3,2,2,3,3, ,9,9,2,2,1,1,1,1,1,50, , ,2,9,1,1,2,1,3, , , ,2,2,1,2,1,1,1,2,1,2,2,2,1,2,2,2,4,1,1,2,2,1,2,4,3,2,4,4,2,90,3, ,2,1,1, , , ,1, ,1,3,2, ,2, ,1,5,10,1,3,9,9,2,2,2,2,2,2, 
102728,2.5,1,82214,1,3,24,S,2,1,2,3,3,2,3,4,2, ,2,1,1,1,2,1,1,9, , , , ,1,1,2,2, ,1,2, , , ,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,3,1,1,8,3,2,1,4,2,66,3, ,2,1,1, , , ,1, ,1,1,2, ,2, ,2,3,3,3,3,1,4,2,2,1,1,1, , 
102736,1.92857142857143,1,82114,2,3,37,R,1,2,1,3,1,3,3,1, ,1,1,1,1,1,1,1,1,1, , , , ,1,1,1,1,1,1, ,1,1, ,1,2,1,2,1,2,2,2,1,1,1,1,2,1,1,1,4,2,2,2,3,1,1,4,1,2,2,2,2,20,1, ,1,1,1, , , ,3,3, ,1,2,2,2, ,2,3,2,3,9,1,3,2,2,1,1,1, , 
102737,1.78571428571429,1,82514,1,3,37,U,3,1,9,3,2,2,3,2,1, ,3,9,9,1,1,9,2,2, , , , ,9,1,2,9, ,9,9, , , ,9,2,9,1,9,1,1,1,1,1,1,1,9,2,2,2,9,2,9,3,9,1,8,8,3,2,8,3,1,99,6,2,2,1,1, , , ,1, ,1,9,9, ,99,1,9,9,10,9,3,9,2,9,9,9,9,9,9, 
102752,18.3571428571429,1,82514,1,1,34,S,5,1,2,2,1,2,2,3,1, ,1,1,1,1,1,2,1,1,1,2, , ,1,1,1,1,1,1,1, , , ,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,4,1,1,2,1,1,2,1,3,2,1,6,2,22,8,1,2,1,1, , , ,1, ,1,6,2, ,1, ,2,3,9,1,1, ,3,5,4,1,1,1, , 
